Source,Target,Weight
user_000118,user_035105,1
user_000118,user_035009,1
user_000118,user_018669,1
user_000118,user_035133,1
user_000118,user_035173,1
user_000118,user_035019,1
user_000118,user_035048,2
user_000118,user_035242,1
user_000119,user_035050,1
user_000119,user_001768,1
user_000119,user_035243,1
user_000119,user_019321,1
user_000119,user_004344,2
user_000119,user_010453,1
user_000119,user_035244,1
user_000120,user_035056,1
user_000120,user_035195,1
user_000120,user_035007,1
user_000120,user_035245,1
user_000120,user_001561,1
user_000120,user_035102,2
user_000120,user_035246,1
user_000120,user_034369,1
user_000120,user_035247,2
user_000120,user_016110,1
user_000120,user_008941,1
user_000120,user_010346,1
user_000120,user_035009,1
user_000120,user_035086,1
user_000120,user_030277,1
user_000120,user_000450,1
user_000120,user_008105,1
user_000120,user_035248,1
user_000120,user_007246,1
user_000120,user_035026,1
user_000120,user_013011,1
user_000120,user_035048,1
user_000120,user_035062,2
user_000120,user_035015,1
user_000120,user_035016,1
user_000120,user_035234,1
user_000120,user_015301,1
user_000120,user_015101,1
user_000120,user_035210,1
user_000120,user_001491,1
user_000120,user_035020,1
user_000120,user_035072,1
user_000121,user_027576,1
user_000121,user_022979,1
user_000122,user_035109,1
user_000122,user_016261,1
user_000122,user_035075,2
user_000122,user_035147,1
user_000122,user_008001,1
user_000122,user_035249,1
user_000122,user_000211,1
user_000123,user_026103,1
user_000123,user_035250,1
user_000123,user_035137,1
user_000124,user_035065,1
user_000124,user_035249,1
user_000124,user_022979,2
user_000124,user_035116,1
user_000124,user_015312,3
user_000124,user_035120,1
user_000124,user_009975,2
user_000124,user_021982,1
user_000124,user_035251,1
user_000124,user_030037,1
user_000124,user_035252,1
user_000124,user_000211,1
user_000124,user_018801,1
user_000124,user_035253,1
user_000125,user_033133,1
user_000125,user_035152,1
user_000125,user_025883,1
user_000126,user_035254,1
user_000126,user_035255,1
user_000127,user_035007,1
user_000127,user_035195,1
user_000128,user_020511,2
user_000128,user_035105,1
user_000129,user_035028,1
user_000129,user_024781,1
user_000129,user_035056,1
user_000129,user_035009,1
user_000129,user_035132,1
user_000129,user_013817,1
user_000129,user_016110,1
user_000129,user_035010,2
user_000129,user_035234,1
user_000129,user_008105,1
user_000129,user_035007,1
user_000129,user_035195,1
user_000129,user_016033,1
user_000129,user_035029,1
user_000129,user_035072,2
user_000129,user_035176,1
user_000129,user_000113,1
user_000129,user_035235,1
user_000129,user_035015,1
user_000129,user_006046,2
user_000129,user_035127,1
user_000129,user_035238,1
user_000129,user_035233,1
user_000129,user_010788,1
user_000129,user_035013,1
user_000129,user_035256,1
user_000129,user_035180,1
user_000129,user_035257,1
user_000129,user_020711,1
user_000130,user_035013,1
user_000130,user_035104,1
user_000130,user_008941,1
user_000131,user_035258,1
user_000131,user_016909,1
user_000132,user_027576,1
user_000133,user_015376,1
user_000133,user_026496,1
user_000133,user_035072,1
user_000133,user_035060,1
user_000133,user_002126,1
user_000133,user_008592,1
user_000134,user_035047,2
user_000134,user_035060,1
user_000134,user_035132,1
user_000135,user_024348,1
user_000135,user_035259,1
user_000135,user_035014,1
user_000136,user_035078,1
user_000137,user_035260,3
user_000137,user_035261,1
user_000137,user_035143,1
user_000137,user_020332,1
user_000137,user_022979,2
user_000137,user_035120,1
user_000137,user_035121,1
user_000137,user_035125,1
user_000137,user_000211,2
user_000137,user_011216,1
user_000138,user_035096,1
user_000139,user_035262,1
user_000139,user_035067,2
user_000139,user_035032,1
user_000139,user_007060,1
user_000140,user_035031,1
user_000140,user_035222,1
user_000140,user_035263,1
user_000140,user_026100,1
user_000141,user_009001,1
user_000141,user_035217,1
user_000142,user_035193,1
user_000142,user_035071,1
user_000142,user_001768,1
user_000142,user_002252,1
user_000142,user_035215,1
user_000142,user_026496,1
user_000142,user_035264,1
user_000142,user_035090,1
user_000142,user_018558,1
user_000142,user_035011,2
user_000143,user_035082,1
user_000143,user_035069,1
user_000144,user_004344,1
user_000144,user_035265,1
user_000144,user_035051,1
user_000144,user_035266,1
user_000144,user_035072,1
user_000144,user_025485,1
user_000144,user_035267,1
user_000145,user_002044,1
user_000145,user_022958,1
user_000145,user_035268,1
user_000145,user_035260,1
user_000145,user_035160,1
user_000145,user_035088,1
user_000145,user_022979,3
user_000145,user_035128,1
user_000145,user_027012,1
user_000145,user_035116,1
user_000145,user_035269,1
user_000145,user_013266,1
user_000145,user_035270,1
user_000145,user_015312,1
user_000145,user_021982,1
user_000145,user_000211,2
user_000145,user_009975,2
user_000145,user_000993,1
user_000145,user_035271,2
user_000145,user_017886,2
user_000145,user_035272,1
user_000145,user_035110,3
user_000145,user_035273,1
user_000145,user_035117,2
user_000145,user_011216,1
user_000145,user_018790,1
user_000145,user_035274,1
user_000145,user_035275,1
user_000145,user_035276,1
user_000145,user_008001,1
user_000145,user_035277,1
user_000146,user_020711,1
user_000146,user_004563,1
user_000146,user_035278,1
user_000146,user_035009,1
user_000146,user_035029,1
user_000147,user_035279,1
user_000147,user_035089,1
user_000147,user_035253,1
user_000148,user_035171,1
user_000148,user_035007,1
